dish_name,price,restaurant_id
Roti Canai,7.89,4-C7LZPGDVJNCTN2
Char Kway Teow,6.65,4-C7LZPGDVJNCTN2
Iced Latte,4.0,4-C7LZPGDVJNCTN2
Cappuccino,5.62,4-C7LZPGDVJNCTN2
French Toast,4.1,4-C7LZPGDVJNCTN2
Espresso,8.65,4-C7LZPGDVJNCTN2
Nasi Lemak,8.39,4-C7LZPGDVJNCTN2
Satay Skewers,8.16,4-C7LZPGDVJNCTN2
Wonton Mee,14.02,SGDD01360
Dan Dan Noodles,14.58,SGDD01360
Braised Beef Noodles,7.69,SGDD01360
Prawn Noodle Soup,10.89,SGDD01360
Fishball Noodles,7.55,SGDD01360
Dry Mee Pok,13.08,SGDD01360
Wonton Mee (Set 2),13.13,SGDD01360
Today's Recommendation,8.03,SGDD01360
Chef's Special Combo,10.8,SGDD01360
Today's Recommendation (Set 2),11.4,SGDD01360
Grilled Chicken Chop,11.22,4-C7JZA6XDPECVGE
Fish & Chips,11.85,4-C7JZA6XDPECVGE
Beef Steak,14.71,4-C7JZA6XDPECVGE
Caesar Salad,14.43,4-C7JZA6XDPECVGE
Mushroom Soup,13.04,4-C7JZA6XDPECVGE
Roast Lamb Rack,12.52,4-C7JZA6XDPECVGE
Teriyaki Chicken Rice Bowl,12.7,4-C7JZA6XDPECVGE
Beef Don,10.19,4-C7JZA6XDPECVGE
Salmon Poke Bowl,12.37,4-C7JZA6XDPECVGE
Grilled Chicken Chop (Set 2),9.99,4-C7JZA6XDPECVGE
Kaya Toast,8.98,SGDD11205
French Toast,7.51,SGDD11205
Cheese Toast,7.17,SGDD11205
Flat White,11.43,SGDD11205
Cappuccino,11.71,SGDD11205
Iced Latte,7.06,SGDD11205
Espresso,12.66,SGDD11205
Cappuccino (Set 2),7.47,SGDD11205
Flat White (Set 2),7.54,SGDD11205
House Signature Dish,7.25,SGDD11205
Chicken Burrito,6.7,4-C2VKLAC2MBT2NJ
Beef Tacos,7.62,4-C2VKLAC2MBT2NJ
Nachos Supreme,8.41,4-C2VKLAC2MBT2NJ
Quesadilla,6.88,4-C2VKLAC2MBT2NJ
Beef Tacos (Set 2),5.21,4-C2VKLAC2MBT2NJ
House Signature Dish,6.36,4-C2VKLAC2MBT2NJ
Today's Recommendation,6.04,4-C2VKLAC2MBT2NJ
Chicken Burrito (Set 2),4.47,4-C2VKLAC2MBT2NJ
Quesadilla (Set 2),7.29,4-C2VKLAC2MBT2NJ
Today's Recommendation (Set 2),5.77,4-C2VKLAC2MBT2NJ
Classic Cheeseburger,8.52,4-C7EAA332EGC2JN
Double Beef Burger,10.59,4-C7EAA332EGC2JN
Grilled Chicken Chop,10.38,4-C7EAA332EGC2JN
Fish & Chips,9.23,4-C7EAA332EGC2JN
Crispy Chicken Burger,9.0,4-C7EAA332EGC2JN
Caesar Salad,14.39,4-C7EAA332EGC2JN
Beef Steak,10.55,4-C7EAA332EGC2JN
BBQ Bacon Burger,13.89,4-C7EAA332EGC2JN
Roast Lamb Rack,11.4,4-C7EAA332EGC2JN
Mushroom Soup,7.4,4-C7EAA332EGC2JN
Hainanese Chicken Rice,8.33,4-C6AFLYKZANBBLN
Roasted Chicken Rice,10.89,4-C6AFLYKZANBBLN
Flat White,8.71,4-C6AFLYKZANBBLN
Cappuccino,10.21,4-C6AFLYKZANBBLN
Iced Latte,7.47,4-C6AFLYKZANBBLN
Espresso,10.03,4-C6AFLYKZANBBLN
Iced Latte (Set 2),14.88,4-C6AFLYKZANBBLN
Chef's Special Combo,9.12,4-C6AFLYKZANBBLN
House Signature Dish,13.27,4-C6AFLYKZANBBLN
Today's Recommendation,10.64,4-C6AFLYKZANBBLN
Fish Head Curry,34.41,4-CZD3LRMAWEKVLJ
Vegetable Curry,26.5,4-CZD3LRMAWEKVLJ
Mutton Curry,39.3,4-CZD3LRMAWEKVLJ
Palak Paneer,52.58,4-CZD3LRMAWEKVLJ
Chana Masala,40.93,4-CZD3LRMAWEKVLJ
Garlic Naan,26.71,4-CZD3LRMAWEKVLJ
Chicken Tikka Masala,40.23,4-CZD3LRMAWEKVLJ
Butter Chicken,50.54,4-CZD3LRMAWEKVLJ
Butter Chicken with Naan,27.06,4-CZD3LRMAWEKVLJ
Cheese Naan,27.04,4-CZD3LRMAWEKVLJ
Caesar Salad,8.63,4-CZCVABEYJYB2WE
Club Sandwich,12.73,4-CZCVABEYJYB2WE
Fish & Chips,8.91,4-CZCVABEYJYB2WE
Quinoa Salad,10.17,4-CZCVABEYJYB2WE
Grilled Chicken Chop,12.37,4-CZCVABEYJYB2WE
Mushroom Soup,9.4,4-CZCVABEYJYB2WE
Egg Mayo Sandwich,9.53,4-CZCVABEYJYB2WE
Grilled Cheese Sandwich,13.01,4-CZCVABEYJYB2WE
Beef Steak,7.58,4-CZCVABEYJYB2WE
Tuna Sandwich,10.67,4-CZCVABEYJYB2WE
Soda Float,14.03,4-C7XUL6AZTGLTTN
Chicken Tikka Masala,9.96,4-C7XUL6AZTGLTTN
Iced Chrysanthemum Tea,8.26,4-C7XUL6AZTGLTTN
Steamed Fish,13.67,4-C7XUL6AZTGLTTN
Fresh Orange Juice,12.63,4-C7XUL6AZTGLTTN
Seafood Platter,11.89,4-C7XUL6AZTGLTTN
Palak Paneer,14.9,4-C7XUL6AZTGLTTN
Butter Chicken,12.23,4-C7XUL6AZTGLTTN
Butter Garlic Prawns,7.06,4-C7XUL6AZTGLTTN
Chana Masala,13.54,4-C7XUL6AZTGLTTN
Carbonara,9.18,4-C25ZKECUCZD3AN
Braised Beef Noodles,11.84,4-C25ZKECUCZD3AN
Risotto ai Funghi,12.74,4-C25ZKECUCZD3AN
Tiramisu,8.63,4-C25ZKECUCZD3AN
Dry Mee Pok,12.07,4-C25ZKECUCZD3AN
Prawn Noodle Soup,9.11,4-C25ZKECUCZD3AN
Wonton Mee,10.91,4-C25ZKECUCZD3AN
Aglio Olio,14.24,4-C25ZKECUCZD3AN
Dan Dan Noodles,13.77,4-C25ZKECUCZD3AN
Truffle Mushroom Pasta,7.74,4-C25ZKECUCZD3AN
Wonton Mee,11.41,4-C2VKJ3U2C2JZTN
Stir-fried Kailan,10.42,4-C2VKJ3U2C2JZTN
Sweet & Sour Pork,7.08,4-C2VKJ3U2C2JZTN
Braised Pork Belly,7.6,4-C2VKJ3U2C2JZTN
Egg Fried Rice,14.06,4-C2VKJ3U2C2JZTN
Steamed Fish with Ginger,14.23,4-C2VKJ3U2C2JZTN
Shoyu Ramen,11.36,4-C2VKJ3U2C2JZTN
Mapo Tofu,13.68,4-C2VKJ3U2C2JZTN
Seafood Fried Rice,11.66,4-C2VKJ3U2C2JZTN
Hot & Sour Soup,8.18,4-C2VKJ3U2C2JZTN
Mushroom Soup,13.24,4-C6K3LLJBMFKZCT
Grilled Chicken Chop,14.07,4-C6K3LLJBMFKZCT
Korean Fried Chicken,10.25,4-C6K3LLJBMFKZCT
Roast Lamb Rack,11.97,4-C6K3LLJBMFKZCT
Popcorn Chicken,8.24,4-C6K3LLJBMFKZCT
Spicy Fried Chicken,14.44,4-C6K3LLJBMFKZCT
Caesar Salad,13.92,4-C6K3LLJBMFKZCT
Mushroom Swiss Burger,14.81,4-C6K3LLJBMFKZCT
Fish & Chips,13.49,4-C6K3LLJBMFKZCT
Beef Steak,14.05,4-C6K3LLJBMFKZCT
Butter Chicken,26.08,4-C2UWA3VBTACTA2
Palak Paneer,25.88,4-C2UWA3VBTACTA2
Mutton Curry,16.34,4-C2UWA3VBTACTA2
Vegetable Curry,25.25,4-C2UWA3VBTACTA2
Chana Masala,19.9,4-C2UWA3VBTACTA2
Chicken Tikka Masala,17.58,4-C2UWA3VBTACTA2
Mutton Biryani,24.93,4-C2UWA3VBTACTA2
Vegetable Biryani,16.41,4-C2UWA3VBTACTA2
Chicken Biryani,13.35,4-C2UWA3VBTACTA2
Fish Head Curry,15.9,4-C2UWA3VBTACTA2
Vegetable Bibimbap,7.92,4-CYXVJA6WAB3TAJ
Beef Bibimbap,14.76,4-CYXVJA6WAB3TAJ
Tteokbokki,8.43,4-CYXVJA6WAB3TAJ
Spicy Bibimbap,14.7,4-CYXVJA6WAB3TAJ
Bulgogi Beef,9.12,4-CYXVJA6WAB3TAJ
Salmon Poke Bowl,7.87,4-CYXVJA6WAB3TAJ
Korean Fried Chicken,10.48,4-CYXVJA6WAB3TAJ
Beef Don,12.83,4-CYXVJA6WAB3TAJ
Teriyaki Chicken Rice Bowl,9.51,4-CYXVJA6WAB3TAJ
Kimchi Jjigae,11.85,4-CYXVJA6WAB3TAJ
Stir-fried Kailan,11.16,4-C7ETCXTCWFE1EN
Sweet & Sour Pork,13.45,4-C7ETCXTCWFE1EN
Char Siew Rice,12.49,4-C7ETCXTCWFE1EN
Salted Egg Prawns,14.52,4-C7ETCXTCWFE1EN
Yang Zhou Fried Rice,12.9,4-C7ETCXTCWFE1EN
Steamed Fish with Ginger,8.58,4-C7ETCXTCWFE1EN
Braised Pork Belly,10.45,4-C7ETCXTCWFE1EN
Mapo Tofu,14.59,4-C7ETCXTCWFE1EN
Mushroom Ban Mian,14.37,4-C7ETCXTCWFE1EN
Minced Meat Ban Mian,11.99,4-C7ETCXTCWFE1EN
Salmon Sashimi,12.58,4-C3XTAN6WCCLJKA
California Roll,11.44,4-C3XTAN6WCCLJKA
Chicken Katsu,8.53,4-C3XTAN6WCCLJKA
Tempura Udon,12.32,4-C3XTAN6WCCLJKA
House Signature Dish,10.03,4-C3XTAN6WCCLJKA
Salmon Sashimi (Set 2),12.99,4-C3XTAN6WCCLJKA
Salmon Sashimi (Set 2),8.39,4-C3XTAN6WCCLJKA
Chicken Katsu (Set 2),11.55,4-C3XTAN6WCCLJKA
California Roll (Set 2),10.25,4-C3XTAN6WCCLJKA
Chicken Katsu (Set 2),13.67,4-C3XTAN6WCCLJKA
Steamed Fish with Ginger,48.81,4-C7UHL7EFEJLDCE
Salt & Pepper Squid,53.79,4-C7UHL7EFEJLDCE
Yang Zhou Fried Rice,47.08,4-C7UHL7EFEJLDCE
Char Siew Rice,44.77,4-C7UHL7EFEJLDCE
Mapo Tofu,33.51,4-C7UHL7EFEJLDCE
Hot & Sour Soup,44.92,4-C7UHL7EFEJLDCE
Chili Crab,43.58,4-C7UHL7EFEJLDCE
Salted Egg Prawns,27.8,4-C7UHL7EFEJLDCE
Sweet & Sour Pork,53.56,4-C7UHL7EFEJLDCE
Stir-fried Kailan,32.05,4-C7UHL7EFEJLDCE
Grilled Chicken Chop,8.8,4-CZJZBADJCXA2NN
Fish & Chips,8.59,4-CZJZBADJCXA2NN
Beef Steak,7.2,4-CZJZBADJCXA2NN
Caesar Salad,8.96,4-CZJZBADJCXA2NN
Mushroom Soup,10.8,4-CZJZBADJCXA2NN
Roast Lamb Rack,13.8,4-CZJZBADJCXA2NN
Curry Puff,7.58,4-CZJZBADJCXA2NN
Popiah,10.32,4-CZJZBADJCXA2NN
Spring Rolls,12.04,4-CZJZBADJCXA2NN
Grilled Chicken Chop (Set 2),8.56,4-CZJZBADJCXA2NN
Sesame Chicken,13.43,4-C2TWVLLTCK2BGX
Herbal Chicken Soup,12.57,4-C2TWVLLTCK2BGX
Sweet Corn Soup,10.72,4-C2TWVLLTCK2BGX
Tteokbokki,11.46,4-C2TWVLLTCK2BGX
Bak Kut Teh,14.34,4-C2TWVLLTCK2BGX
Kimchi Jjigae,7.97,4-C2TWVLLTCK2BGX
Grilled Chicken Thigh,8.07,4-C2TWVLLTCK2BGX
Chicken Cutlet,10.72,4-C2TWVLLTCK2BGX
Korean Fried Chicken,11.25,4-C2TWVLLTCK2BGX
Bulgogi Beef,11.47,4-C2TWVLLTCK2BGX
Flat White,13.52,4-C653MFMVDGL1BE
Cappuccino,14.14,4-C653MFMVDGL1BE
Iced Latte,10.41,4-C653MFMVDGL1BE
Espresso,14.25,4-C653MFMVDGL1BE
Jasmine Green Tea,10.57,4-C653MFMVDGL1BE
Oolong Tea,8.27,4-C653MFMVDGL1BE
Earl Grey Tea,13.89,4-C653MFMVDGL1BE
Cappuccino (Set 2),10.6,4-C653MFMVDGL1BE
Espresso (Set 2),13.01,4-C653MFMVDGL1BE
Oolong Tea (Set 2),13.72,4-C653MFMVDGL1BE
Wonton Mee,17.12,SGDD00739
Dan Dan Noodles,14.16,SGDD00739
Braised Beef Noodles,17.29,SGDD00739
Prawn Noodle Soup,17.08,SGDD00739
Fishball Noodles,17.8,SGDD00739
Dry Mee Pok,21.1,SGDD00739
Wonton Mee (Set 2),15.08,SGDD00739
Fishball Noodles (Set 2),16.47,SGDD00739
Prawn Noodle Soup (Set 2),23.41,SGDD00739
Today's Recommendation,23.6,SGDD00739
Salmon Sashimi,7.5,4-C3NZSEWUCBVBAT
California Roll,13.66,4-C3NZSEWUCBVBAT
Chicken Katsu,10.12,4-C3NZSEWUCBVBAT
Tempura Udon,13.16,4-C3NZSEWUCBVBAT
House Signature Dish,14.57,4-C3NZSEWUCBVBAT
Chicken Katsu (Set 2),7.16,4-C3NZSEWUCBVBAT
Chicken Katsu (Set 2),14.05,4-C3NZSEWUCBVBAT
California Roll (Set 2),11.61,4-C3NZSEWUCBVBAT
Tempura Udon (Set 2),10.82,4-C3NZSEWUCBVBAT
Chicken Katsu (Set 2),14.54,4-C3NZSEWUCBVBAT
Spicy Bibimbap,9.18,4-C65ZT74WL2CFAJ
Braised Beef Noodles,10.89,4-C65ZT74WL2CFAJ
Sesame Chicken,10.11,4-C65ZT74WL2CFAJ
Prawn Noodle Soup,12.35,4-C65ZT74WL2CFAJ
Vegetable Bibimbap,13.39,4-C65ZT74WL2CFAJ
Dan Dan Noodles,12.79,4-C65ZT74WL2CFAJ
Dry Mee Pok,13.72,4-C65ZT74WL2CFAJ
Korean Fried Chicken,14.36,4-C65ZT74WL2CFAJ
Beef Bibimbap,14.85,4-C65ZT74WL2CFAJ
Tteokbokki,11.27,4-C65ZT74WL2CFAJ
Lasagna,6.82,4-C7NBNUEWCE52NE
Risotto ai Funghi,4.14,4-C7NBNUEWCE52NE
Tiramisu,7.21,4-C7NBNUEWCE52NE
Osso Buco,4.68,4-C7NBNUEWCE52NE
Carbonara,6.31,4-C7NBNUEWCE52NE
Aglio Olio,4.25,4-C7NBNUEWCE52NE
Bolognese Spaghetti,5.9,4-C7NBNUEWCE52NE
Truffle Mushroom Pasta,5.06,4-C7NBNUEWCE52NE
Tiramisu (Set 2),5.63,4-C7NBNUEWCE52NE
Aglio Olio (Set 2),7.81,4-C7NBNUEWCE52NE
Flat White,15.0,4-C3BUR2NCFEBJA6
Mushroom Soup,9.8,4-C3BUR2NCFEBJA6
Carrot Cake,12.2,4-C3BUR2NCFEBJA6
Cheesecake,13.25,4-C3BUR2NCFEBJA6
Fish & Chips,12.21,4-C3BUR2NCFEBJA6
Cappuccino,13.03,4-C3BUR2NCFEBJA6
Grilled Chicken Chop,14.6,4-C3BUR2NCFEBJA6
Roast Lamb Rack,8.59,4-C3BUR2NCFEBJA6
Chocolate Fudge Cake,7.16,4-C3BUR2NCFEBJA6
Iced Latte,8.22,4-C3BUR2NCFEBJA6
Chef's Special Combo,13.14,4-C722HFLEETUFCX
House Signature Dish,8.34,4-C722HFLEETUFCX
Daily Special Set,11.86,4-C722HFLEETUFCX
Today's Recommendation,12.98,4-C722HFLEETUFCX
Daily Special Set (Set 2),7.92,4-C722HFLEETUFCX
Today's Recommendation (Set 2),13.55,4-C722HFLEETUFCX
House Signature Dish (Set 2),14.72,4-C722HFLEETUFCX
Today's Recommendation (Set 2),7.86,4-C722HFLEETUFCX
Today's Recommendation (Set 2),7.21,4-C722HFLEETUFCX
Chef's Special Combo (Set 2),9.5,4-C722HFLEETUFCX
Grilled Chicken Thigh,13.37,4-C3TFGETHGYTHTN
Char Siew Rice,11.53,4-C3TFGETHGYTHTN
Chicken Cutlet,7.33,4-C3TFGETHGYTHTN
Yang Zhou Fried Rice,11.26,4-C3TFGETHGYTHTN
Sweet & Sour Pork,12.29,4-C3TFGETHGYTHTN
Salted Egg Prawns,7.55,4-C3TFGETHGYTHTN
Braised Pork Belly,12.18,4-C3TFGETHGYTHTN
Mapo Tofu,7.1,4-C3TFGETHGYTHTN
Kung Pao Chicken,10.36,4-C3TFGETHGYTHTN
Sesame Chicken,10.92,4-C3TFGETHGYTHTN
Chicken Katsu Bento,13.47,4-CYUTT6CDRUXXL6
Mapo Tofu,11.31,4-CYUTT6CDRUXXL6
Herbal Chicken Soup,10.87,4-CYUTT6CDRUXXL6
Hot & Sour Soup,10.48,4-CYUTT6CDRUXXL6
Bak Kut Teh,12.85,4-CYUTT6CDRUXXL6
Kung Pao Chicken,9.15,4-CYUTT6CDRUXXL6
Char Siew Rice,13.81,4-CYUTT6CDRUXXL6
Tempura Bento,13.65,4-CYUTT6CDRUXXL6
Steamed Fish with Ginger,7.69,4-CYUTT6CDRUXXL6
Sweet Corn Soup,14.05,4-CYUTT6CDRUXXL6
Chef's Special Combo,13.81,4-CZAWBCC1SEVYEA
House Signature Dish,8.45,4-CZAWBCC1SEVYEA
Daily Special Set,8.7,4-CZAWBCC1SEVYEA
Today's Recommendation,13.38,4-CZAWBCC1SEVYEA
Today's Recommendation (Set 2),9.72,4-CZAWBCC1SEVYEA
Today's Recommendation (Set 2),14.04,4-CZAWBCC1SEVYEA
Daily Special Set (Set 2),12.61,4-CZAWBCC1SEVYEA
House Signature Dish (Set 2),9.21,4-CZAWBCC1SEVYEA
Chef's Special Combo (Set 2),7.08,4-CZAWBCC1SEVYEA
Today's Recommendation (Set 2),14.58,4-CZAWBCC1SEVYEA
California Roll,10.93,4-C73FGCM3LBC3AT
Tempura Udon,13.34,4-C73FGCM3LBC3AT
Spicy Tantanmen,7.74,4-C73FGCM3LBC3AT
Bulgogi Beef,8.77,4-C73FGCM3LBC3AT
Korean Fried Chicken,12.53,4-C73FGCM3LBC3AT
Tonkotsu Ramen,9.45,4-C73FGCM3LBC3AT
Butter Garlic Prawns,11.65,4-C73FGCM3LBC3AT
Shoyu Ramen,10.79,4-C73FGCM3LBC3AT
Tteokbokki,11.25,4-C73FGCM3LBC3AT
Steamed Fish,10.4,4-C73FGCM3LBC3AT
Chicken Burrito,5.15,4-CZEUR7LAUCDEC2
Beef Tacos,7.61,4-CZEUR7LAUCDEC2
Nachos Supreme,5.58,4-CZEUR7LAUCDEC2
Quesadilla,7.71,4-CZEUR7LAUCDEC2
Beef Tacos (Set 2),8.75,4-CZEUR7LAUCDEC2
Beef Tacos (Set 2),7.45,4-CZEUR7LAUCDEC2
Quesadilla (Set 2),4.96,4-CZEUR7LAUCDEC2
Chicken Burrito (Set 2),7.69,4-CZEUR7LAUCDEC2
Chicken Burrito (Set 2),5.38,4-CZEUR7LAUCDEC2
Chicken Burrito (Set 2),6.95,4-CZEUR7LAUCDEC2
Club Sandwich,7.11,4-C2VKKAVDLEXCA6
Egg Mayo Sandwich,11.27,4-C2VKKAVDLEXCA6
Mushroom Soup,9.19,4-C2VKKAVDLEXCA6
Fish & Chips,14.79,4-C2VKKAVDLEXCA6
Caesar Salad,11.43,4-C2VKKAVDLEXCA6
Beef Steak,12.58,4-C2VKKAVDLEXCA6
Tuna Sandwich,8.01,4-C2VKKAVDLEXCA6
Greek Salad,13.95,4-C2VKKAVDLEXCA6
Roast Lamb Rack,10.93,4-C2VKKAVDLEXCA6
Quinoa Salad,13.98,4-C2VKKAVDLEXCA6
Salted Egg Prawns,13.58,4-C7TWABABRPDFJA
Hot & Sour Soup,10.21,4-C7TWABABRPDFJA
Salmon Teriyaki Bento,7.59,4-C7TWABABRPDFJA
Chicken Katsu Bento,12.04,4-C7TWABABRPDFJA
Mapo Tofu,7.43,4-C7TWABABRPDFJA
Kung Pao Chicken,8.19,4-C7TWABABRPDFJA
Braised Pork Belly,11.5,4-C7TWABABRPDFJA
Steamed Fish with Ginger,9.43,4-C7TWABABRPDFJA
Salmon Poke Bowl,14.95,4-C7TWABABRPDFJA
Tempura Bento,7.95,4-C7TWABABRPDFJA
Jasmine Green Tea,9.38,4-C4NJGEDEE2X1TN
Salted Egg Prawns,11.71,4-C4NJGEDEE2X1TN
Oolong Tea,10.43,4-C4NJGEDEE2X1TN
Taro Milk Tea,11.55,4-C4NJGEDEE2X1TN
Earl Grey Tea,7.48,4-C4NJGEDEE2X1TN
Yang Zhou Fried Rice,14.68,4-C4NJGEDEE2X1TN
Stir-fried Kailan,7.79,4-C4NJGEDEE2X1TN
Char Siew Rice,13.1,4-C4NJGEDEE2X1TN
Hot & Sour Soup,12.0,4-C4NJGEDEE2X1TN
Classic Milk Tea,9.12,4-C4NJGEDEE2X1TN
Nasi Lemak,8.39,4-C2DJCGCKVN63J6
Char Kway Teow,7.6,4-C2DJCGCKVN63J6
Roti Canai,7.02,4-C2DJCGCKVN63J6
Satay Skewers,10.6,4-C2DJCGCKVN63J6
Herbal Chicken Soup,11.75,4-C2DJCGCKVN63J6
Bak Kut Teh,9.33,4-C2DJCGCKVN63J6
Sweet Corn Soup,8.85,4-C2DJCGCKVN63J6
House Signature Dish,12.66,4-C2DJCGCKVN63J6
Daily Special Set,12.62,4-C2DJCGCKVN63J6
Today's Recommendation,10.63,4-C2DJCGCKVN63J6
Grilled Chicken Chop,14.39,4-C4EUGJ4GTREJEJ
Fish & Chips,13.3,4-C4EUGJ4GTREJEJ
Beef Steak,12.0,4-C4EUGJ4GTREJEJ
Caesar Salad,12.29,4-C4EUGJ4GTREJEJ
Mushroom Soup,14.47,4-C4EUGJ4GTREJEJ
Roast Lamb Rack,10.4,4-C4EUGJ4GTREJEJ
Greek Salad,11.36,4-C4EUGJ4GTREJEJ
Quinoa Salad,12.18,4-C4EUGJ4GTREJEJ
Greek Salad (Set 2),14.27,4-C4EUGJ4GTREJEJ
Today's Recommendation,13.61,4-C4EUGJ4GTREJEJ
Katong Laksa,13.89,SGDD05316
Curry Laksa,24.89,SGDD05316
Prawn Laksa,21.93,SGDD05316
Wonton Mee,25.36,SGDD05316
Dan Dan Noodles,26.82,SGDD05316
Braised Beef Noodles,19.59,SGDD05316
Prawn Noodle Soup,20.03,SGDD05316
Fishball Noodles,17.56,SGDD05316
Dry Mee Pok,19.04,SGDD05316
House Signature Dish,17.08,SGDD05316
Chef's Special Combo,7.02,4-CYTKLXJFGRMVNA
House Signature Dish,4.13,4-CYTKLXJFGRMVNA
Daily Special Set,5.14,4-CYTKLXJFGRMVNA
Today's Recommendation,7.37,4-CYTKLXJFGRMVNA
Today's Recommendation (Set 2),8.3,4-CYTKLXJFGRMVNA
Today's Recommendation (Set 2),6.94,4-CYTKLXJFGRMVNA
House Signature Dish (Set 2),4.1,4-CYTKLXJFGRMVNA
Chef's Special Combo (Set 2),7.82,4-CYTKLXJFGRMVNA
Daily Special Set (Set 2),8.11,4-CYTKLXJFGRMVNA
House Signature Dish (Set 2),6.88,4-CYTKLXJFGRMVNA
Kimchi Jjigae,7.26,4-C6B1MFC2T8JCV6
Tteokbokki,8.58,4-C6B1MFC2T8JCV6
Bulgogi Beef,4.91,4-C6B1MFC2T8JCV6
Korean Fried Chicken,6.93,4-C6B1MFC2T8JCV6
Beef Bibimbap,7.17,4-C6B1MFC2T8JCV6
Vegetable Bibimbap,6.46,4-C6B1MFC2T8JCV6
Spicy Bibimbap,4.46,4-C6B1MFC2T8JCV6
Daily Special Set,5.74,4-C6B1MFC2T8JCV6
Korean Fried Chicken (Set 2),5.67,4-C6B1MFC2T8JCV6
Beef Bibimbap (Set 2),7.35,4-C6B1MFC2T8JCV6
Kimchi Jjigae,12.55,4-CZEXGY4XWGNBTE
Tteokbokki,9.31,4-CZEXGY4XWGNBTE
Bulgogi Beef,14.56,4-CZEXGY4XWGNBTE
Korean Fried Chicken,13.51,4-CZEXGY4XWGNBTE
Beef Bibimbap,11.4,4-CZEXGY4XWGNBTE
Vegetable Bibimbap,10.64,4-CZEXGY4XWGNBTE
Spicy Bibimbap,9.52,4-CZEXGY4XWGNBTE
Daily Special Set,9.59,4-CZEXGY4XWGNBTE
Tteokbokki (Set 2),14.76,4-CZEXGY4XWGNBTE
